timestamp;AXIS_ACT;POS_ACT;TORQUE_A1;TORQUE_A2;TORQUE_A3;TORQUE_A4;TORQUE_A5;TORQUE_A6;MOT_TEMP_A1;MOT_TEMP_A2;MOT_TEMP_A3;MOT_TEMP_A4;MOT_TEMP_A5;MOT_TEMP_A6;CURR_A1;CURR_A2;CURR_A3;CURR_A4;CURR_A5;CURR_A6;VEL_AXIS_ACT_A1;VEL_AXIS_ACT_A2;VEL_AXIS_ACT_A3;VEL_AXIS_ACT_A4;VEL_AXIS_ACT_A5;VEL_AXIS_ACT_A6;VEL_ACT;OV_PRO;BRAKE_SIG;MODE_OP;PRO_STATE1
2025-11-27 14:13:51.923;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;1.85788286;9.10251808;-9.26898;-1.97950912;-0.234564841;-3.44155431;295;295;294;296;295;295;-0.0140250502;-0.00336601213;-0.00729302643;0.0813826919;0.0127160456;-0.127160460;0.0;-0.000610278;0.0;0.000270670309;0.0;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:52.122;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;1.11472976;7.97748804;-6.49784374;-3.31836152;-1.87651634;-5.18257713;295;295;294;296;295;295;-0.00561002037;-0.0246840883;-0.0370261334;0.0775678754;0.00254320912;-0.124617249;0.0;0.0;0.0;-0.000812257407;0.0;0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:52.312;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.445891827;1.94323373;-2.86669612;-3.84216762;-0.469129235;-2.91519928;295;295;294;296;295;295;-0.00617102208;-0.0314161107;-0.0196350701;0.0813826919;0.0495925769;-0.116987616;0.0;0.0;0.0;-0.000270670309;0.0;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:52.495;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;1.11472964;10.0229979;-9.07787132;-2.73602438;-0.410488337;-3.19862175;295;295;294;296;295;295;-0.00392701384;-0.0443191603;-0.00841503;0.0546789952;0.00254320912;-0.138604894;0.000610277755;0.000305277907;0.0;-0.000270670309;0.0;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:52.675;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.743153155;4.09101868;-0.668894708;-2.56134748;-1.81787455;-2.18639970;295;295;294;296;295;295;-0.0112200407;-0.0510511808;-0.0633932278;0.0902839229;-0.0267036967;-0.113172807;0.000305277761;0.0;0.0;0.000270670309;0.000280047447;0.0;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:52.857;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.594522536;7.16029406;-7.54896355;-3.90019584;-1.34874618;-3.32008839;295;294;294;296;295;295;-0.00448801601;-0.0561002;-0.0185130667;0.0737530664;0.0139876502;-0.116987616;0.000305277761;-0.000915555924;0.0;-0.000270670309;0.0;-0.000634211057;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:53.032;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-0.668837845;3.37616873;-5.16005325;-3.60911560;-0.586411238;-1.74102199;295;294;294;296;295;295;-0.00504901819;-0.0589052103;-0.0403921455;0.0762962699;0.0254320912;-0.130975276;0.0;0.0;0.000325348141;0.0;0.0;0.000316817;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:53.214;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.222945943;5.52526569;-1.81557441;-3.25983357;-0.234564736;-3.80595493;295;294;294;296;295;295;0.00392701384;-0.0241230875;-0.0112200407;0.0737530664;0.0228888821;-0.167851806;0.0;-0.000610278;0.0;0.0;0.0;0.000317105529;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:53.397;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.297261238;3.68379;-6.02006245;-5.00616074;-1.70059323;-3.07715464;295;294;294;296;295;295;-0.00953703374;-0.0201960728;-0.0375871360;0.0330617204;0.0267036967;-0.142419711;0.0;-0.000610555813;0.000325348141;0.0;0.0;-0.000633922522;0.0;100;0;#T1;#P_FREE
2025-11-27 14:13:53.584;{E6AXIS: A1 21.6373806, A2 -139.758759, A3 153.728378, A4 -0.739100039, A5 11.8348293, A6 9.39366913, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;0.743153214;10.0285692;-6.78451490;-3.31803155;-0.820976377;-2.06493258;295;294;294;296;295;295;-0.00280501018;-0.0387091376;-0.0443191603;0.0699382499;0.0228888821;-0.141148105;0.0;0.0;0.0;0.0;0.0;0.000316817;0.0;100;0;#T1;#P_FREE
