timestamp;AXIS_ACT;POS_ACT;TORQUE_A1;TORQUE_A2;TORQUE_A3;TORQUE_A4;TORQUE_A5;TORQUE_A6;MOT_TEMP_A1;MOT_TEMP_A2;MOT_TEMP_A3;MOT_TEMP_A4;MOT_TEMP_A5;MOT_TEMP_A6;CURR_A1;CURR_A2;CURR_A3;CURR_A4;CURR_A5;CURR_A6;VEL_AXIS_ACT_A1;VEL_AXIS_ACT_A2;VEL_AXIS_ACT_A3;VEL_AXIS_ACT_A4;VEL_AXIS_ACT_A5;VEL_AXIS_ACT_A6;VEL_ACT;OV_PRO;BRAKE_SIG;MODE_OP;PRO_STATE1
2025-11-27 15:16:24.776;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-313.792725;-0.204314396;11.2646780;5.41025114;-1.17136824;-0.566154242;296;296;296;296;296;296;2.38986850;-0.0230010822;0.0779792815;-0.0877407119;0.00254320912;-0.0203456730;0.000610555522;0.0;-0.000650696282;-0.000541587127;0.0;0.000633922522;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:24.888;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-316.911530;3.77972031;14.9866209;3.95588279;-1.93275762;-1.21318078;296;296;296;296;296;296;2.37640452;0.0129030468;0.0970533490;-0.108086385;-0.00635802280;0.00635802280;-0.000305277761;-0.000610555813;0.000325348141;0.000270670309;0.0;-0.000317105529;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.015;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-314.312622;-9.39798260;13.6494255;3.83953333;-0.0585683845;-0.727905393;296;296;296;296;296;296;2.37752652;-0.00504901819;0.0566612072;-0.0966419429;0.0114444410;0.0483209714;0.000305277761;-0.000610278;0.0;0.000270916818;0.0;-0.000317105529;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.131;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-314.312592;-2.24730277;14.1260920;4.01405716;-0.117136814;0.525707543;296;296;296;296;296;296;2.35059834;0.0213180762;0.0555392019;-0.106814787;0.0317901149;-0.0292469040;0.000610555522;0.0;-0.000650696282;0.000541587127;0.0;0.0;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.253;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-310.525452;2.04297543;14.1256485;5.11937761;-1.34707355;-1.25360763;296;296;296;296;296;296;2.33040237;-0.00841503;0.0605882145;-0.102999970;0.0203456730;0.0419629514;0.0;-0.000610278;0.0;0.000270916818;0.0;0.000633922522;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.343;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-310.599762;2.24725819;12.1211081;4.07223225;-0.937094629;-0.727900207;296;296;296;296;296;296;2.32142639;-0.0129030468;0.0583442114;-0.111901201;0.00508641824;-0.0152592547;-0.000915555574;-0.000610278;-0.000325348141;0.0;0.000280047447;0.0;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.426;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-311.342346;4.39233875;13.5525570;5.93382359;-1.28850508;-0.0404390879;296;296;296;296;296;296;2.32535338;-0.0375871360;0.0690032467;-0.116987616;0.0139876502;-0.00127160456;0.0;-0.000610278;0.0;-0.000270916818;0.0;0.0;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.512;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-311.268066;1.73649776;12.6934443;4.13040686;0.527115703;-1.57722580;296;296;296;296;296;296;2.34667134;-0.00336601213;0.0617102198;-0.104271576;0.0330617204;0.0;0.000305277761;-0.00122083374;0.0;0.0;0.0;0.000633922522;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.602;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-308.149323;-4.49444437;12.2161360;5.58477545;-0.292842060;-0.283122510;296;296;296;296;296;296;2.33040237;0.00729302643;0.0510511808;-0.106814787;-0.00254320912;0.0152592547;0.000305277761;-0.000610278;0.000325348141;0.000270670309;0.0;0.000317105529;0.0;100;1;#T1;#P_FREE
2025-11-27 15:16:25.692;{E6AXIS: A1 0.622869313, A2 -140.047440, A3 157.059128, A4 4.80218697, A5 -13.6895380, A6 0.725469768, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0};;-309.263153;-0.102145538;12.7886724;5.17755222;-0.644252539;-0.687642097;296;296;296;296;296;296;2.32871938;-0.0347821228;0.0673202425;-0.109357990;0.0216172785;-0.0330617204;-0.000610555522;0.0;0.0;0.000541587127;0.0;-0.000633922522;0.0;100;1;#T1;#P_FREE
